sampleId	country	city	lat	long	Continental_clusters
WA_se_14_spring	USA	Tacoma	47.23713	-122.39627	2.North_America
CA_st_12_fall	USA	Stockton	38.02	-121.2	2.North_America
CA_tu_12_fall	USA	Tuolumne	37.97	-120.26	2.North_America
CA_st_12_frost	USA	Stockton	38.02	-121.2	2.North_America
CA_tu_12_frost	USA	Tuolumne	37.97	-120.26	2.North_America
VA_ch_15_fall	USA	Charlotttesville	38	-78.47	2.North_America
VA_ch_15_spring	USA	Charlotttesville	38	-78.47	2.North_America
PA_li_15_fall	USA	Linvilla	39.88	-75.41	2.North_America
PA_li_15_spring	USA	Linvilla	39.88	-75.41	2.North_America
PA_st_15_spring	USA	State College	40.793395	-77.860001	2.North_America
ON_su_15_spring	Canada	Sudbury	46.53	-80.96	2.North_America
ON_su_15_fall	Canada	Sudbury	46.53	-80.96	2.North_America
IL_ur_15_spring	USA	Urbana	40.11	-88.21	2.North_America
CA_pl_12_frost	USA	Placerville	38.74	-120.74	2.North_America
CA_es_12_frost	USA	Esparto	38.68	-122.046	2.North_America
CA_es_13_spring	USA	Esparto	38.68	-122.046	2.North_America
CA_tu_13_spring	USA	Tuolumne	37.97	-120.26	2.North_America
CA_pl_13_fall	USA	Placerville	38.74	-120.74	2.North_America
CA_tu_13_fall	USA	Tuolumne	37.97	-120.26	2.North_America
CA_st_13_fall	USA	Stockton	38.02	-121.2	2.North_America
CA_es_13_fall	USA	Esparto	38.68	-122.046	2.North_America
CA_tu_13_frost	USA	Tuolumne	37.97	-120.26	2.North_America
CA_pl_13_frost	USA	Placerville	38.74	-120.74	2.North_America
B	China	Beijing	39.91	116.41	NA
CO	Cameroon	Oku	6.25	10.43	4.Africa
EA	Ethiopia	Gambella	8.25	34.59	4.Africa
EB	Ethiopia	Bonga	7.26	36.25	4.Africa
ED	Ethiopia	Dodola	6.98	39.18	4.Africa
EF	Ethiopia	Fiche	9.81	38.63	4.Africa
EG	Egypt	Cairo	30.1	31.32	1.Europe_W
ER	Ethiopia	Debre Birhan	9.68	39.53	4.Africa
